n_i,x_i,public_i,n_j,x_j,public_j,y_i,Z
4.0,0.7061878442764282,0.7351276874542236,37.0,0.7447094917297363,0.7759634256362915,-0.038521647453308105,-0.04083573818206787
0.0,0.7061878442764282,0.7351276874542236,25.0,0.7523443102836609,0.778850793838501,-0.046156466007232666,-0.08455884456634521
0.0,0.7061878442764282,0.7351276874542236,29.0,0.7506678700447083,0.7864229083061218,-0.04448002576828003,-0.1358540654182434
0.0,0.7061878442764282,0.7351276874542236,17.0,0.751640260219574,0.7876055836677551,-0.04545241594314575,-0.1883319616317749
0.0,0.7061878442764282,0.7351276874542236,26.0,0.77547687292099,0.8162950873374939,-0.06928902864456177,-0.26949936151504517
0.0,0.7061878442764282,0.7351276874542236,25.0,0.7759104371070862,0.8216916918754578,-0.06972259283065796,-0.3560633659362793
0.0,0.7061878442764282,0.7351276874542236,13.0,0.7726795077323914,0.8208281993865967,-0.06649166345596313,-0.44176387786865234
6.0,0.7020232081413269,0.7281299829483032,15.0,0.7756237983703613,0.8270301222801208,-0.07360059022903442,-0.54066401720047
24.0,0.7293550372123718,0.7613452672958374,3.0,0.7761464715003967,0.8214734792709351,-0.0467914342880249,-0.6007922291755676
35.0,0.7515814304351807,0.7928546071052551,16.0,0.7825338840484619,0.8298476934432983,-0.03095245361328125,-0.6377853155136108
35.0,0.7832186222076416,0.8065683245658875,18.0,0.7842596173286438,0.8313674926757812,-0.0010409951210021973,-0.6625844836235046
33.0,0.7908458113670349,0.8206573128700256,8.0,0.7809667587280273,0.8312062621116638,0.009879052639007568,-0.6731334328651428
35.0,0.7731158137321472,0.8018266558647156,7.0,0.779344916343689,0.8313674926757812,-0.006229102611541748,-0.7026742696762085
25.0,0.7967066764831543,0.8303332924842834,20.0,0.7853594422340393,0.8313674926757812,0.01134723424911499,-0.7037084698677063
